Name,Listing Type,Feature Tag,Price,Location,Room Count,Area
Beşiktaş Bebek de 1+1 Eşyalı Lüks Daire,No type,No tag,38000,"Arnavutköy, Beşiktaş",1+1,70
ŞEBNEM ÖZGÜL'DEN Florya'da Merkeze Yakın 3+1 140m2 Kiralık,No type,No tag,27500,"Şenlikköy, Bakırköy",3+1,140
ZİYNET GAYRİMENKULDEN YEŞİLTEPEDE 3+1 EŞYALI KİRALIK DAİRE,No type,No tag,20000,"Yeşiltepe, Zeytinburnu",3+1,140
"4.Levent Çeliktepe Full Eşyalı 1+1 Kiralık,Sıfır Bina,Metro 5 Dk",No type,No tag,27000,"Çeliktepe, Kağıthane",1+1,75
Metro Metrobüse Yakın 1+1 Kombili 65 m2 Eşyalı Kiralık Daire,No type,No tag,12000,"Siyavuşpaşa, Bahçelievler",1+1,65
ZEN YAPI'DAN KİRALIK 2+1 YÜSEK GİRİŞ DAİRE MERKEZİ KONUM,No type,No tag,10000,"Yenikent, Esenyurt",2+1,100
ZEN YAPI'DAN KİRALIK 1+1 YÜKSEK GİRİŞ DAİRE,No type,No tag,9500,"Bağlarçeşme, Esenyurt",1+1,85
Sky Bahcesehir 2+1kirelık daire مشروع سكاي بهشه شهير,No type,No tag,14000,"Bahçeşehir 1. Kısım, Başakşehir",2+1,115
Çapada Turgut Özal Millet Caddesinde Kiralık 3+1 Daire,No type,No tag,24000,"Şehremini, Fatih",3+1,140
MALL OF ISTANBULA YAKIN METRO KARŞISINDA FULL EŞYALI REZİDANS,No type,No tag,60000,"Mahmutbey, Bağcılar",3+1,175
MEGA TEAM'DEN LOFT DRAGOS'TA TERASLI PANAROMİK DENİZ MANZARALI,No type,No tag,40000,"Cevizli, Maltepe",3+1,155
istinyede KİRALIK 2+1 daire,No type,No tag,17000,"İstinye, Sarıyer",2+1,85
ÜSKÜDAR'IN GÜZİDE SEMTİ VALİDE-İ ATİK'TE KİRALIK 2+1 DAİRE,No type,No tag,25000,"Valide-i Atik, Üsküdar",2+1,80
BEBEKTE SAHİLE YAKIN YEŞİLLİKLER İÇİNDE SAUNALI MANZARALI DAİRE,No type,No tag,65000,"Bebek, Beşiktaş",3+1,150
Modern Furnished Residence for Rent in Beşiktaş Maçka Residence,No type,No tag,110000,"Vişnezade, Beşiktaş",1+1,140
ZİYNET GAYRİMENKULDEN ULUS BEŞİKTAŞ 3+1EŞYALI LÜKS KİRALIK DAİRE,No type,No tag,45000,"Ulus, Beşiktaş",3+1,130
Bağcılar Demirkapı Mahallesi Site İçinde Kiralık 2+1 Daire,No type,No tag,19000,"Demirkapı, Bağcılar",2+1,95
Güngören Haznedar Mevkinde Kiralık 3+1 Daire 5.kat,No type,No tag,14000,"Akıncılar, Güngören",3+1,130
ÇELİKTEPE'DE METROYA 5 DK 2+1 KİRALIK DAİRE,No type,No tag,17250,"Çeliktepe, Kağıthane",2+1,115
BEYLİKDÜZÜ KİRALIK DAİRE 3+1=185M2 ÇOK MERKEZİ KONUMDA,No type,No tag,18000,"Adnan Kahveci, Beylikdüzü",3+1,185
KAĞITHANE ÇAĞLAYAN DA KİRALİK 2+1 DAİRE,No type,No tag,16000,"Çağlayan, Kağıthane",2+1,85
Bağcılar Kirazlı Mahallesi Site İçinde Kiralık 3+1 Daire,No type,No tag,24500,"Kirazlı, Bağcılar",3+1,120
Avcılar Mustafa Kemal Paşa'da Kiralık Daire,No type,No tag,13500,"Mustafa Kemal Paşa, Avcılar",2+1,85
Arnavutköy de Modern Eşyalı 1+1 Kiralık Daire,No type,No tag,38000,"Arnavutköy, Beşiktaş",1+1,72
Sarıyer Yeniköy'de sahile yürume mesafesinde 2+1 Kiralık Daire,No type,No tag,24000,"Yeniköy, Sarıyer",2+1,80
Nişantaşı'nda Ferah 3+1 Kiralık Daire,No type,No tag,40000,"Teşvikiye, Şişli",3+1,120
Sarıyer Reşitpaşa Mahallesi Manzaralı Bakımlı 2+1 Kiralık Daire,No type,No tag,37000,"Reşitpaşa, Sarıyer",2+1,120
CORNER LİFE SİTESİNDE LÜX EŞYALI KİRALIK 1+1 OTURUMA HAZIR DAİRE,No type,No tag,20000,"Mahmutbey, Bağcılar",1+1,75
YEŞİLKÖY 'DE 2+1 FULL LÜKS EŞYALI KİRALIK DAİRE,No type,No tag,47970,"Yeşilköy, Bakırköy",2+1,90
SULTAN SELİM'DE KİRALIK 3+1 DAİRE,No type,No tag,17000,"Sultan Selim, Kağıthane",3+1,115
Nest'ten Gayrettepe 2+1 Kiralık Eşyalı,No type,No tag,35000,"Gayrettepe, Beşiktaş",2+1,85
ŞEBNEM ÖZGÜL'DEN Florya Merkeze ve Metrobüse Yakın 2+1 Kiralık,No type,No tag,24000,"Şenlikköy, Bakırköy",2+1,110
Nişantaşı Amerikan Hastane Civarı Lüks Kiralık Daire,No type,No tag,42000,"Meşrutiyet, Şişli",2+1,100
ŞİŞLİ KURTULUŞ'TA EŞYALI 4+1 KİRALIK DAİRE,No type,No tag,45000,"Eskişehir, Şişli",4+1,250
ESENYURT MERTLİFE 1+0 FULL EŞYALI FATURALAR DAHİL,No type,No tag,12000,"Mehterçeşme, Esenyurt",1+0,45
KARTAL ATALAR YENİ BOYALI ASANSÖRLÜ KİRALIK ARAKAT 3+1 DAİRE,No type,No tag,17500,"Atalar, Kartal",3+1,150
HÜSREV GEREDE CADDESİ ÜZERİ EŞYALI KİRALIK 2+1 GİRİŞ KAT DAİRE,No type,No tag,33000,"Vişnezade, Beşiktaş",2+1,90
BÜYÜKÇEKMECE ROSE MARİNE BUTİKDE DENİZE SIFIR VİLLADA ESYALI 4+1,No type,No tag,120000,"Ekinoba, Büyükçekmece",4+1,220
Ümraniye Şerifali'de Site İçinde Kiralık 3+1 Boş Daire,No type,No tag,18500,"Tatlısu, Ümraniye",3+1,120
7/24 Güvenlikli site 3+1 kiralık geniş arakat daire,No type,No tag,29000,"Barbaros, Üsküdar",3+1,120
Hilal Konakları Bulvar Cephe 4+1Eşyalı Kiralık Lüks Daire,No type,No tag,38000,"Adnan Kahveci, Beylikdüzü",4+1,225
SİLİVRİ YENİ MAHALLE 3+1 FERAH KİRALIK DAİRE,No type,No tag,18000,"Yeni, Silivri",3+1,160
Furnished 2+1 Apartment for Rent in Nişantaşı,No type,No tag,40000,"Meşrutiyet, Şişli",2+1,110
PYRAMID'DEN NOVUS RESIDENCE BÜYÜK TİP KAPALI MUTFAK (150m2) 2+1,No type,No tag,47500,"Ataköy 2-5-6. Kısım, Bakırköy",2+1,150
ZİYNET GAYRİMENKULDEN ÇIRPICIDA 2+1 KİRALIK TEMİZ DAİRE,No type,No tag,15000,"Çırpıcı, Zeytinburnu",2+1,90
Bakırköy Kartaltepe'de Kiralık Daire,No type,No tag,13000,"Kartaltepe, Bakırköy",2+1,95
BAHÇEŞEHİR 2.KISIM'DA KİRALIK 4+1 DAİRE..POLAT EMLAK,No type,No tag,19000,"Bahçeşehir 2. Kısım, Başakşehir",4+1,160
Avcılar Mustafa Kemal Paşa'da Kiralık Daire,No type,No tag,14000,"Mustafa Kemal Paşa, Avcılar",1+1,65
Tuzla Şifa'da Kiralık Daire,No type,No tag,20000,"Şifa, Tuzla",3+1,136
NİVO İSTANBUL HALKALI'DA 1+1 BOS KİRALIK RESIDENCE DAİRE !,No type,No tag,17000,"İnönü, Küçükçekmece",1+1,55
ATAŞEHİR SKYTOWERS'TA 2+1 KİRALIK DAİRE,No type,No tag,42500,"Atatürk, Ataşehir",2+1,136
Şişli Gülbahar'da 3+1 Kiralık Daire,No type,No tag,22000,"Gülbahar, Şişli",3+1,130
Kartal Atalarda yeni bina katta tek asansör otoparklı 3+1,No type,No tag,30000,"Atalar, Kartal",3+1,125
YENİ BİNA Süreyyaplajı Sahilde DENİZ/PARK MANZARALI Balkonlu Lux Güney Cephe EŞYALI 2+1,No type,No tag,35000,"Feyzullah, Maltepe",2+1,100
Emirgan Reşitpaşa merkeze yakın 3+1 kombili geniş balkonlu daire,No type,No tag,40000,"Reşitpaşa, Sarıyer",3+1,170
ODAKULE RESİDANCE EŞYALI 1+1 DAİRE,No type,No tag,31000,"Küçükbakkalköy, Ataşehir",1+1,75
Göztepe Kiralık  Sıfır 3+1 Daire Bağdat Caddesi'ne Marmaray'a Yürüme Mesafesinde,No type,No tag,59000,"Göztepe, Kadıköy",3+1,135
CİHANGİR MERKEZDE KİRALIK EŞYALI KONFORLU VE LÜKS 2+1 DAİRE !,No type,No tag,45000,"Cihangir, Beyoğlu",2+1,125
Gayrettepe de Ferah Teras Kullanımlı Daire,No type,No tag,35000,"Gayrettepe, Beşiktaş",2+1,75
ATAŞEHİR DE KİRALIK 2+1 MANZARALI TERAS KATI DAİRE,No type,No tag,16000,"Küçükbakkalköy, Ataşehir",2+1,80
MALL OF ISTANBULA YAKIN METRO KARŞISINDA FULL EŞYALI REZİDANS,No type,No tag,75000,"Mahmutbey, Bağcılar",3+1,175
"LEVENT PEKER SOKAKTA ÖNÜ AÇIK, DENİZ MANZARALI 100 M2 2+1",No type,No tag,38000,"Nisbetiye, Beşiktaş",2+1,110
"LEVENT PEKER SOKAKTA ÖNÜ AÇIK, DENİZ MANZARALI 100 M2 2+1",No type,No tag,38000,"Nisbetiye, Beşiktaş",2+1,110
NEBA GARDEN NİVO İSTANBUL'DA AVM CEPHE KİRALIK 2+1 DAİRE,No type,No tag,19500,"İnönü, Küçükçekmece",2+1,84
YEDİTEPE ÜNİVERSİTESİNE YAKIN CADDE ÜSTÜ 3+1 GENİŞ KİRALIK DAİRE,No type,No tag,19500,"Mimar Sinan, Ataşehir",3+1,135
AVRUPA KONUTLARI TEM KİRALIK 2+1 DAİRE,No type,No tag,34000,"Karayolları, Gaziosmanpaşa",2+1,90
FENERYOLU MAHALLESİ'NDE SIFIR EŞYALI 3+1 KİRALIK DAİRE,No type,No tag,63000,"Feneryolu, Kadıköy",3+1,100
BEYKENT 2+1=80M2 BOŞ KİRALIK DAİRE MERKEZİ KONUMDA E5 250 METRE,No type,No tag,12000,"Adnan Kahveci, Beylikdüzü",2+1,80
Arnavutköy de Modern Eşyalı 1+1 Kiralık Daire,No type,No tag,40000,"Arnavutköy, Beşiktaş",1+1,72
YENİLENMİŞ MASRAFSIZ KİRALIK 2+1 DAİRE,No type,No tag,15500,"Çeliktepe, Kağıthane",2+1,90
Ona9 projesinde arakat güvenlikli kapalı garajlı 1+1,No type,No tag,20000,"Cevizli, Maltepe",1+1,70
Eşyalı ve Lüks Site İçerisinde Bahçelievler Devlet Hastanesi Yak,No type,No tag,30000,"Kocasinan Merkez, Bahçelievler",2+1,111
AĞAOĞLU MASLAK 1453'TE KİRALIK 1+1,No type,No tag,55000,"Maslak, Sarıyer",1+1,95
Qent İstinye 'de Kısmi Deniz Manzaralı 450 m² 4+1 Kiralık Daire,No type,No tag,250000,"Reşitpaşa, Sarıyer",4+1,450
Kortel Korusunda Tamamı Yenilenmiş 180 m² 4+1 Kiralık Boş Daire,No type,No tag,90000,"Arnavutköy, Beşiktaş",4+1,180
Kiralık 2+1 Daire Çekmeköy Merkez Mahallesi ( Yeni Bina ),No type,No tag,17500,"Merkez, Çekmeköy",2+1,85
3+1 Flat for Rent in New Building in Nişantaşı,No type,No tag,85000,"Harbiye, Şişli",3+1,112
Fatih'te Merkezi Lokasyonda Bakımlı 2+1 Kiralık Daire,No type,No tag,16500,"Koca Mustafapaşa, Fatih",3+1,105
TEŞVİKİYE HASAN CEVDET PAŞA SK.KİRALIK 5+2TERASLI DUBLEKS DAİRE,No type,No tag,110000,"Teşvikiye, Şişli",5+2,330
AV.SÜREYYA AĞAOĞLU SOKAKTA KİRALIK 2+1 YÜKSEK GİRİŞ DAİRE,No type,No tag,40000,"Teşvikiye, Şişli",2+1,120
AKMERKEZ SHOPPİNG MALL ACROSS LUXURY FULLY FURNISHED 4+1,No type,No tag,225000,"Akat, Beşiktaş",4+1,240
FATİH MAHALLESİ SEGA İSTANBUL'DA 2+1 SIFIR KİRALIK DAİRE,No type,No tag,26000,"Fatih, Küçükçekmece",2+1,110
Beylikdüzü Adakent Havuzlu 7/24 Güvenlik Site 3+1 Kiralık Daire,No type,No tag,18000,"Barış, Beylikdüzü",3+1,145
ZEN YAPI'DAN 1+1 KİRALIK SİTE İÇİ DAİRE,No type,No tag,11500,"Mehmet Akif Ersoy, Esenyurt",1+1,85
SİLİVRİ KİPTAŞ 3 DE EŞYALI KİRALIK DAİRE 2+1,No type,No tag,15000,"Alipaşa, Silivri",2+1,92
DG'DEN MEHMETAKİF'DE SIFIR BİNADA 4+2 SIFIR DUBLEKS GENİŞTERASLI,No type,No tag,20000,"Mehmet Akif, Sultanbeyli",4+2,180
Tarabya 'da A+ Butik Sitede 300 m² 5+1 Kiralık Bahçe Dubleksi,No type,No tag,170000,"Ferahevler, Sarıyer",5+1,300
Beşiktaş Etiler'de Dubleks eşyalı Kiralık Daire,No type,No tag,33500,"Etiler, Beşiktaş",2+1,90
BEYOĞLU GALATADA TARİHİ YÜKSEK TAVANLI 3+1 KİRALIK DAİRE,No type,No tag,100000,"Şahkulu, Beyoğlu",3+1,185
Beşiktaş Muradiye'de Eşyalı Kiralık Dubleks,No type,No tag,38500,"Muradiye, Beşiktaş",2+1,100
ÇEKMEKÖY MERKEZ MAHALLESİNDE 1+1 KİRALIK SIFIR DAİRE,No type,No tag,14000,"Merkez, Çekmeköy",1+1,55
NİVO İSTANBUL'DA BALKONLU YÜKSEK KAT SIFIR KİRALIK 1+1 DAİRE,No type,No tag,15000,"İnönü, Küçükçekmece",1+1,55
ACIBADEM YILDIZ BLOKLARINDA 3+1 125m² ARAKAT DAİRE,No type,No tag,25000,"Acıbadem, Kadıköy",3+1,125
CİHANGİRDE DENİZ MANZARALI 200 MTR 4+1 SÜPERLÜX KİRALIK DAİRE,No type,No tag,115000,"Kılıçali Paşa, Beyoğlu",4+1,210
CİHANGİR SIRASELVİLER AYDINLIK FERAH ASANSÖRLÜ 3+1 YENİ KİRALIK DAİRE,No type,No tag,50000,"Cihangir, Beyoğlu",3+1,150
"FİRÜZAĞA""DA AYDINLIK FERAH 2+1 KİRALIK DAİRE",No type,No tag,20000,"Firuzağa, Beyoğlu",2+1,90
YENİ BOSNA GREENİST KİRALIK 3+1 **EN GÜZEL CEPHE**,No type,No tag,45000,"Bağlar, Bağcılar",3+1,180
WESTSİDE İSTANBUL'DA 1+0 EŞYALI KİRALIK DAİRE MUHTEŞEM LOKASYON,No type,No tag,15000,"Barış, Beylikdüzü",1+0,54
ESENYURT BAĞLARÇEŞME MAH'DE 2+1 KİRALIK DAİRE!!,No type,No tag,8500,"Bağlarçeşme, Esenyurt",2+1,100
ESENYURT PINAR MAH'DE İÇİ YENİ YAPILI KİRALIK DAİRE!!,No type,No tag,8500,"Pınar, Esenyurt",2+1,100
GÜNGÖREN KİRALIK DAİRE 100m2,No type,Fırsat,14500,"Merkez, Güngören",2+1,101
POLAT EMLAK..KİPTAŞ 3.ETAP KONUTLARINDA -BOYALI- BAKIMLI DAİRE,No type,No tag,12500,"Bahçeşehir 2. Kısım, Başakşehir",2+1,85
BALMUMCU ATA KOLEJİ SOKAĞINDA OTOPARKLI 2 + 1 KÖŞE DAİRE,No type,No tag,25000,"Balmumcu, Beşiktaş",2+1,65
KW CADDE'DEN KOŞUYOLUNDA SABANCI SİTESİNDE 3+1 BALKONLU KİRALIK,No type,No tag,31000,"Koşuyolu, Kadıköy",3+1,135
ŞİŞLİ MECİDİYE KÖYDE  2+1 KİRALIK DAİRE,No type,No tag,26000,"Mecidiyeköy, Şişli",2+1,95
AVCILAR DENİKÖŞKLERDE  3 + 1  = 150 m2  AZ KATLI  KİRALIK,No type,No tag,10000,"Denizköşkler, Avcılar",3+1,150
Uzunyayla çarşıdan full eşyalı kiralık daire,No type,No tag,20000,"Telsiz, Zeytinburnu",2+1,80
FATİH MAHALLESİ SEGA İSTANBUL'DA 2+1 SIFIR KİRALIK DAİRE,No type,No tag,26000,"Fatih, Küçükçekmece",2+1,110
Taksim Beyoğlu full eşyalı tüm faturalar dahil STÜDYO Daire*,No type,No tag,14000,"Şehit Muhtar, Beyoğlu",1+0,60
Esenyurt Güzelyurt'ta Kiralık 2+1 yüksek giriş Daire,No type,No tag,9000,"Güzelyurt, Esenyurt",2+1,100
POLAT EMLAK'dan..BAHÇEŞEHİR 2 KISIM 2+1 KİRALIK DAİRE,No type,No tag,13000,"Bahçeşehir 2. Kısım, Başakşehir",2+1,90
Avcılar Denizköşkler'de Kiralık 4 yıllık Asansörlü 2+1Daire,No type,No tag,13000,"Denizköşkler, Avcılar",2+1,80
Turyap'tan Çekmeköy Neveser Konakları BOŞ Kiralık 3+1 Daire,No type,No tag,55000,"Sultançiftliği, Çekmeköy",3+1,179
BOSTANCI'DA DENİZ MANZARALI TRİPLEKS KİRALIK,No type,No tag,65000,"Bostancı, Kadıköy",3+2,260
Erenköy Sahil Parselinde Sıfır 3+1 Kiralık Daire,No type,No tag,65000,"Caddebostan, Kadıköy",3+1,95
Ispartakule Emlak Konutları Sitesinde Kiralık 2+1 Daire,No type,No tag,25000,"Tahtakale, Avcılar",2+1,128
CADDEBOSTAN SAHİLE 1.PARALELDE KİRALIK 4+1 DAİRE,No type,No tag,59000,"Caddebostan, Kadıköy",4+1,220
DRAGOS MEVKİİ TEMİZ KİRALIK 4 +1 KİRALIK DAİRE,No type,No tag,36500,"Yalı, Maltepe",4+1,205
ADNAN KAHVECİ OSMANLI CADDESİ ÜZERİNDE MODERN SİTEDE KİRALIK,No type,No tag,25000,"Adnan Kahveci, Beylikdüzü",3+1,165
KURUÇEŞME'DE BOĞAZ MANZARALI LUX EŞYALI KİRALIK YOL YALI DAİRESİ,No type,No tag,300000,"Kuruçeşme, Beşiktaş",3+1,200
KİRALIK DAİRE PENDİK ESENYALI ORHANGAZİ MAHALLESİ,No type,No tag,10000,"Esenyalı, Pendik",2+1,90
"BEŞİKTAŞ ÇARŞI'YA YAKIN, İSKELE'YE 10 DAKİKA, BALKONLU 2+1 DAİRE",No type,No tag,22500,"Türkali, Beşiktaş",2+1,95
Capacity Avm Karşısı mükemmel lokasyonda 3+1 daire,No type,No tag,35000,"Zeytinlik, Bakırköy",3+1,130
LEVENT CASADA 9620 RESİDENCE 2+1 KİRALIK DAİRE,No type,No tag,22000,"Çeliktepe, Kağıthane",2+1,75
Zeytinburnu Telsiz'de Eşyalı Kiralık Daire,No type,No tag,16500,"Telsiz, Zeytinburnu",2+1,80
Levazım Sitesinde Eşyalı Bakımlı 2 Banyolu 2 Odalı Kiralık Daire,No type,No tag,58000,"Levazım, Beşiktaş",2+1,130
"ÜSKÜDAR MURAT REİS MAHALLESİNDE 1,5+1 EŞYALI KİRALIK DAİRE",No type,No tag,30000,"Murat Reis, Üsküdar",1+1,95
Meydan Sitesi 3+1 Geniş Bahçe Kullanımlı 120m2 Daire,No type,No tag,15000,"Mimar Sinan, Silivri",3+1,135
Göktürk İstanbul Bis Sitesin'de Kiralık FULL Eşyalı Kiralık 2+1,No type,No tag,55000,"Göktürk Merkez, Eyüpsultan",2+1,110
BAŞAKŞEHİR KAYAŞEHİR 18.BÖLGEDE BOŞ KİRALIK EŞYALI 3+1 DAİRE,No type,No tag,25000,"Kayabaşı, Başakşehir",3+1,125
İSTANBUL BEYLİKDÜZÜNDE EŞYALI KİRALIK 2+1 DAİRE ( 90 M2 ),No type,No tag,16000,"Yakuplu, Beylikdüzü",2+1,89
Ona9 projesinde arakat güvenlikli kapalı garajlı 1+1,No type,No tag,20000,"Cevizli, Maltepe",1+1,70
"YAREN EMLAK""TAN NİNE HATUN MAH 4 KAT EŞYALI KİRALIK DAİRE 2+1 100M2",No type,No tag,16000,"Nine Hatun, Esenler",2+1,105
BAĞCILARDA KİRALIK EŞYALI LÜKS DAİRE 1+1 ( 75 M2 ),No type,No tag,22000,"Mahmutbey, Bağcılar",1+1,75
EŞYALI KİRALIK DAİRE  MERKEZİ LOKASYONDA,No type,No tag,30000,"Altayçeşme, Maltepe",2+1,90
İSTANBUL BEYLİKDÜZÜNDE 3+1 EŞYALI KİRALIK DAİRE,No type,No tag,19000,"Adnan Kahveci, Beylikdüzü",3+1,130
BEYLİKDÜZÜNDE YABANCI İKAMETE UYGUN 2+1 EŞYALI KİRALIK DAİRE,No type,No tag,19000,"Yakuplu, Beylikdüzü",2+1,110
İSTANBUL BEYLİKDÜZÜNDE 2+1 EŞYALI KİRALIK DAİRE,No type,No tag,15000,"Dereağzı, Beylikdüzü",2+1,90
İSTANBUL BEYLİKDÜZÜ DEREAĞZINDA 2+1 EŞYALI KİRALIK DAİRE,No type,No tag,15000,"Dereağzı, Beylikdüzü",2+1,85
BEYLİKDÜZÜNDE YABANCI OTURUMA UYGUN 1+1 EŞYALI KİRALIK DAİRE,No type,No tag,14000,"Dereağzı, Beylikdüzü",1+1,65
İSTANBUL BEYLİKDÜZÜNDE 2+1 EŞYALI KİRALIK DAİRE,No type,No tag,14000,"Kavaklı, Beylikdüzü",2+1,90
İSTANBUL ÜSKÜDAR MEYDANA 100mt EŞYALI KİRALIK 2+1 DAİRE,No type,No tag,30000,"Mimar Sinan, Üsküdar",2+1,100
KİRALIK İŞYERİ VEYA HOM OFİS KULLANILABİLİR  2+1 110M2 2.KAT,No type,No tag,26000,"Mimar Sinan, Esenler",2+1,120
Şişli 19 Mayıs Mahallesi 3+1 bakımlı kiralık daire,No type,No tag,26000,"19 Mayıs, Şişli",3+1,110
ÇATI KONUT'DAN GÜZELYURTTA 2+1 EBEVEYN BANYOLU MASRAFSIZ DAİRE,No type,No tag,9000,"Güzelyurt, Esenyurt",2+1,90
NOVA SUİTS RESİDENCE SEYRANTEPE FULL EŞYALI MANZARALI 2 +1,No type,No tag,30000,"Yeşilce, Kağıthane",2+1,90
2+1 KİRALIK DAİRE 1.KAT KAYIŞDAĞI ATAŞEHİR,No type,No tag,11000,"Kayışdağı, Ataşehir",2+1,75
Sancaktepe kemaltürkler mahallesinde 3+1 kiralık daire,No type,No tag,15500,"Kemal Türkler, Sancaktepe",3+1,135
ZÜHTÜPAŞA İLKOKULUNUN KARŞISINDA KİRALIK 3+1 DAİRE,No type,No tag,29500,"Feneryolu, Kadıköy",3+1,105
DENİZ MANZARALI 1+1 KİRALIK DAİRE,No type,No tag,14000,"Yakuplu, Beylikdüzü",1+1,60
Esenler Nine Hatun'da Kiralık Daire 3+1 kombili - esnaf -memur,No type,No tag,15000,"Nine Hatun, Esenler",3+1,130
AVCILAR MERKEZDE SIFIR KİRALIK DAİRE KAÇIRILMIYCAK FIRSAT,No type,No tag,15000,"Merkez, Avcılar",2+1,95
BEYLİKDÜZÜ WESTSİDE SİTESİ'NDE 3+1 ÇİFT CEPHE DAİRE,No type,No tag,36000,"Barış, Beylikdüzü",3+1,169
BEYLİKDÜZÜ WESTSİDE SİTESİ'NDE 2+1 KAPALI MUTFAK TERASLI DAİRE,No type,No tag,24000,"Barış, Beylikdüzü",2+1,135
Acıbadem Çeçen Sokak / 2+1 Kiralık Daire,No type,No tag,18000,"Acıbadem, Üsküdar",2+1,100
Silivri Yeni'de Kiralık Daire,No type,No tag,15250,"Yeni, Silivri",2+1,85
DAĞISTAN'DAN YENİ BİNADA LÜX EŞYALI 3+1 KISA DÖNEM KİRALIK DAİRE,No type,No tag,55000,"Şenlikköy, Bakırköy",3+1,170
LOVA YAPI'DAN ADNAN KAHVECİ'DE SİTE İÇERİSİNDE EŞYALI KİRALIK,No type,No tag,29500,"Adnan Kahveci, Beylikdüzü",3+1,180
Bahçelievler Cumhuriyet Mah Kiralık 2+1 Daire Asansörlü 13yş,No type,No tag,15500,"Cumhuriyet, Bahçelievler",2+1,85
Bahçelievler Cumhuriyet Mah Kiralık 3+1 Arakat Daire,No type,No tag,15000,"Cumhuriyet, Bahçelievler",3+1,130
MASLAK 1453 DE İYİ LOKASYONDA 1+1 KİRALIK GENİŞ TERASLI DAİRE,No type,No tag,37000,"Maslak, Sarıyer",1+1,88
"KARTALDA METROYA YAKIN YENİ BİNA ARA KAT2+1,110 M2 KİRALIK DAİRE",No type,No tag,23000,"Esentepe, Kartal",2+1,110
GÜNCEL İLAN - NİVO İSTANBUL 1+1 BALKONLU KİRALIK DAİRE,No type,No tag,15000,"İnönü, Küçükçekmece",1+1,55
Pendik Doğu Mh Kardelen Sitesinde Kiralık 3+1 Daire.,No type,No tag,22000,"Doğu, Pendik",3+1,125
Başokur'dan Bahçelievler Siyavuşpaşda Yeni Binada 2+1 Kiralık,No type,No tag,17500,"Siyavuşpaşa, Bahçelievler",2+1,82
DRAGOS DRIVE SİTESİNDE FULL EŞYALI 5+1 KİRALIK DAİRE,No type,No tag,60000,"Yalı, Maltepe",5+1,200
PYRAMID'DEN ATAKÖY 9'DA FULL TADİLATLI 3+1 MOBİLYALI DAİRE,No type,No tag,37500,"Ataköy 7-8-9-10. Kısım, Bakırköy",3+1,145
Four Winds'de Yüksek Katta Deniz Manzaralı Kiralık Daire,No type,No tag,145000,"Göztepe, Kadıköy",3+1,223
REMAX EBRU'DAN BAŞAKŞEHİR 4.ETAP 1.KISIMDA TEMİZ DOĞA MANZARALI,No type,No tag,14650,"Başak, Başakşehir",2+1,68
ZUHURATBABA TUNABOYLU SOKAKTA KİRALIK ARAKAT 2+1 DAİRE,No type,No tag,15000,"Zuhuratbaba, Bakırköy",2+1,75
Nurolpark Güneşli ' de 85m2 Balkonlu Kiralık 1+1 Daire,No type,No tag,20000,"15 Temmuz, Bağcılar",1+1,85
Avrupa Konutları 3 te Kiralık 3+1 Daire,No type,No tag,40000,"Halkalı Merkez, Küçükçekmece",3+1,178
Ataköy 9.Kısım Büyük B lerde 2+1 Full Tadilatlı Kiralık Daire,No type,Acil,32000,"Ataköy 7-8-9-10. Kısım, Bakırköy",2+1,100
Beykoz Acarlar'da Kiralık,No type,No tag,35000,"Acarlar, Beykoz",4+1,160
اجاره واحد یک خوابه در باهچه شهیر avrupark hayat,No type,No tag,11000,"Bahçeşehir 2. Kısım, Başakşehir",1+1,60
Esenler Nine Hatun'da Kiralık Daire,No type,No tag,13000,"Nine Hatun, Esenler",2+1,85
Tual bahçekent اجاره واحد یک خوابه در باهچه شهیر,No type,No tag,13000,"Bahçeşehir 2. Kısım, Başakşehir",1+1,65
"VALİKONAĞINA YÜRÜME MESAFESİNDE EŞYALI KİRALIK 2,5+1 DAİRE",No type,No tag,40000,"Meşrutiyet, Şişli",2+1,130
Hicret emlaktan gayrimenul'den 115 m2 kiralık daire 2+1 kat 4,No type,No tag,13500,"Fatih, Esenler",2+1,115
ÇATI KONUT'DAN GÜVENLİKLİ SİTEDE EŞYALI 2+1 SIFIR DAİRE,No type,No tag,11000,"Güzelyurt, Esenyurt",2+1,70
Esenyurt Zafer'de Kiralık Daire,No type,No tag,12000,"Zafer, Esenyurt",1+1,75
Beşiktaş Yıldız'da 2+1 Kiralık Boğaz Manzaralı Daire,No type,No tag,32000,"Yıldız, Beşiktaş",2+1,95
SEMBOL İSTANBUL KÖŞE DAİRE 26 KAT EŞYALIK KİRALIK 1+1 DAİRE,No type,No tag,13000,"Zafer, Esenyurt",1+1,67
BEYLİKDÜZÜ İHLAS MARMARA EVLERİ 2.KISIM 3.ADA DA KİRALIK 3+1,No type,No tag,25000,"Kavaklı, Beylikdüzü",3+1,150
ÇAĞLAYAN DA ERKEKLERE ÖZEL APART TA TEK KİŞİLİK ODALAR,No type,No tag,8000,"Çağlayan, Kağıthane",4+1,200
"BAYRAMPAŞA MERKEZ,ASANSÖRLÜ,MANZARALI,GENİŞ,EŞYALI 3+1 DAİRE",No type,No tag,31000,"Ortamahalle, Bayrampaşa",3+1,230
